co2_ppm,humidity_pct,light_lux,nh3_ko,oxidised_ko,pm10_ugm3,pm1_uhm3,pm25_ugm3,pressure_inhg,reduced_ko,temperature_f,timestamp
959.0,26.06831542865194,43.3022,136.99001370667713,27.313609467455624,5.0,0.0,5.0,25.190290015855084,345.4663951120165,85.85700988498252,2026-03-30T16:25:48.342410
959.0,26.092939328520917,39.07885,136.99001370667713,27.334742538259917,4.0,0.0,4.0,25.189973276328153,345.7937219730944,86.03043499396873,2026-03-30T16:25:53.565349
957.0,26.177666412009504,41.587,136.57522469714732,27.292487112313022,3.0,0.0,3.0,25.189667888914947,346.28571428571456,85.65883019620783,2026-03-30T16:25:58.791520
958.0,26.214914363311305,39.0237,136.3872730821784,27.292487112313022,4.0,1.0,4.0,25.190552810777465,344.81333875559193,85.7926194729987,2026-03-30T16:26:04.050007
958.0,26.20821675941672,42.1955,136.3121951219512,27.28544870711509,4.0,1.0,4.0,25.19107583766981,344.97640358014667,85.59607333025644,2026-03-30T16:26:09.266185
954.0,26.14800183104094,38.5255,136.12475633528263,27.27137546468402,4.0,0.0,4.0,25.190932743833663,343.67558799675606,85.5611786995167,2026-03-30T16:26:14.499266
952.0,26.14740892346857,38.8944,136.23717573629798,27.28544870711509,5.0,1.0,5.0,25.191355183340264,344.00000000000017,85.87364037185326,2026-03-30T16:26:19.740160
953.0,26.16000211599381,42.74885,136.12475633528263,27.27137546468402,4.0,0.0,3.0,25.19028991996522,343.513579246048,85.55209546792678,2026-03-30T16:26:24.952633
951.0,26.135156886156448,43.6711,136.61285909712723,27.320652633358694,4.0,0.0,3.0,25.190741530222972,345.1396011396014,85.72736731931685,2026-03-30T16:26:30.190861
951.0,26.116909055937747,43.85555,136.7635439076863,27.334742538259917,3.0,0.0,2.0,25.19121199440096,345.9575856443722,85.73283678375631,2026-03-30T16:26:35.420148
951.0,26.11654337978622,45.9948,136.01246834210022,27.27137546468402,4.0,1.0,3.0,25.190917257380242,343.83772819472637,85.78516972812898,2026-03-30T16:26:40.664557
950.0,26.117126156316296,45.9948,136.12475633528263,27.28544870711509,4.0,1.0,3.0,25.190930701865206,344.1624035728788,86.11105654313374,2026-03-30T16:26:45.887655
951.0,26.111771056843907,45.9948,136.01246834210022,27.28544870711509,4.0,1.0,3.0,25.19020717516636,343.83772819472637,85.02894336582668,2026-03-30T16:26:51.119578
950.0,26.11107387293434,45.9948,135.97506817296463,27.28544870711509,4.0,1.0,3.0,25.190087241223054,344.00000000000017,85.31931402978176,2026-03-30T16:26:56.348723
948.0,26.092401412924524,50.2733,136.23717573629798,27.320652633358694,3.0,0.0,2.0,25.189818143888253,344.3249390739239,85.71724518906369,2026-03-30T16:27:01.589353
950.0,26.02553851909739,45.9948,136.12475633528263,27.327696990192763,3.0,0.0,3.0,25.18958836642859,344.00000000000017,85.92389556837159,2026-03-30T16:27:06.814568
